area_name,year,Active Dentists,Active Primary Care Physicians,Beds in General Hospitals,Deaths by Injury or Violence,Divorces,General Hospital Discharges,Infant Deaths,Low-Weight Births Under 2500 Grams,Marriages,Midlevel Practitioners,Nongeriatric Deaths,Nursing Facility Beds,Persons Served in Area Mental Health Programs,Pregnancies for Females 15-19,Pregnancies for Females of All Ages,Registered Nurses,Reported Abortions,Resident Deaths,Resident Live Births,"Total Active Physicians, Nonfederal, Non-resident-in-tr"
Guilford County,2020,323.0,452.0,1061.0,537.0,1.0,58904.0,45.0,649.0,2.0,875.0,1442.0,2432.0,21601.0,379.0,8005.0,6221.0,2023.0,5208.0,5927.0,1461.0
Halifax County,2020,11.0,23.0,184.0,73.0,143.0,5319.0,5.0,61.0,150.0,36.0,248.0,343.0,2304.0,66.0,698.0,386.0,170.0,819.0,526.0,67.0
Harnett County,2020,20.0,49.0,131.0,149.0,341.0,5309.0,7.0,165.0,791.0,123.0,396.0,425.0,4673.0,119.0,2151.0,491.0,270.0,1254.0,1867.0,104.0
Haywood County,2020,35.0,45.0,121.0,71.0,252.0,4642.0,4.0,46.0,505.0,57.0,207.0,475.0,3906.0,25.0,563.0,482.0,42.0,965.0,520.0,117.0
Henderson County,2020,59.0,89.0,263.0,131.0,298.0,11882.0,8.0,82.0,622.0,162.0,290.0,912.0,2102.0,75.0,1096.0,1187.0,91.0,1536.0,1004.0,282.0
Hertford County,2020,5.0,19.0,86.0,24.0,41.0,4307.0,4.0,28.0,87.0,30.0,107.0,151.0,742.0,20.0,242.0,312.0,33.0,369.0,208.0,49.0
Hoke County,2020,7.0,21.0,49.0,65.0,88.0,1606.0,8.0,80.0,494.0,33.0,191.0,132.0,2124.0,43.0,970.0,224.0,128.0,474.0,838.0,31.0
Hyde County,2020,0.0,3.0,0.0,6.0,1.0,0.0,0.0,5.0,12.0,4.0,19.0,80.0,129.0,3.0,38.0,27.0,1.0,59.0,37.0,4.0
Iredell County,2020,86.0,129.0,424.0,137.0,510.0,16199.0,11.0,164.0,1.0,256.0,498.0,653.0,6547.0,103.0,2173.0,1599.0,274.0,1886.0,1898.0,359.0
Jackson County,2020,13.0,29.0,86.0,53.0,99.0,3674.0,2.0,19.0,246.0,57.0,138.0,200.0,1896.0,26.0,351.0,324.0,34.0,457.0,315.0,92.0
Johnston County,2020,49.0,79.0,179.0,188.0,518.0,12045.0,13.0,194.0,1.0,168.0,562.0,615.0,7942.0,147.0,2914.0,980.0,411.0,1823.0,2487.0,180.0
Jones County,2020,2.0,7.0,0.0,8.0,872.0,0.0,0.0,6.0,91.0,2.0,35.0,80.0,455.0,6.0,108.0,51.0,18.0,166.0,90.0,13.0
Lee County,2020,33.0,42.0,127.0,73.0,214.0,3977.0,8.0,76.0,460.0,41.0,229.0,294.0,2947.0,54.0,921.0,341.0,125.0,748.0,790.0,100.0
Lenoir County,2020,24.0,37.0,182.0,60.0,164.0,5459.0,7.0,86.0,181.0,38.0,261.0,407.0,4457.0,65.0,807.0,562.0,133.0,897.0,665.0,108.0
Lincoln County,2020,30.0,37.0,101.0,63.0,241.0,5019.0,4.0,66.0,609.0,80.0,253.0,300.0,2985.0,57.0,958.0,518.0,83.0,1016.0,873.0,89.0
Macon County,2020,14.0,26.0,83.0,44.0,117.0,1573.0,2.0,33.0,256.0,23.0,87.0,280.0,901.0,17.0,348.0,213.0,27.0,536.0,321.0,70.0
Madison County,2020,3.0,15.0,0.0,34.0,44.0,0.0,1.0,18.0,191.0,12.0,73.0,180.0,963.0,13.0,196.0,79.0,17.0,282.0,177.0,18.0
Martin County,2020,6.0,8.0,49.0,25.0,36.0,896.0,4.0,30.0,107.0,8.0,93.0,154.0,2086.0,14.0,261.0,129.0,32.0,401.0,229.0,13.0
McDowell County,2020,9.0,22.0,65.0,43.0,144.0,2269.0,0.0,37.0,233.0,42.0,149.0,250.0,2015.0,25.0,408.0,264.0,29.0,633.0,379.0,38.0
Mecklenburg County,2020,845.0,1112.0,2236.0,751.0,2.0,142888.0,75.0,1388.0,2.0,2128.0,2305.0,3438.0,10971.0,915.0,19326.0,12985.0,4569.0,7647.0,14655.0,3838.0
Mitchell County,2020,6.0,11.0,46.0,21.0,28.0,1103.0,1.0,19.0,67.0,25.0,61.0,127.0,363.0,8.0,149.0,177.0,3.0,251.0,146.0,26.0
Montgomery County,2020,3.0,9.0,37.0,34.0,58.0,111.0,3.0,25.0,114.0,27.0,111.0,141.0,1643.0,24.0,308.0,109.0,37.0,370.0,270.0,15.0
Moore County,2020,90.0,81.0,337.0,99.0,242.0,23129.0,5.0,106.0,523.0,277.0,264.0,730.0,4108.0,60.0,1373.0,1500.0,158.0,1326.0,1207.0,398.0
Nash County,2020,44.0,55.0,262.0,105.0,226.0,12272.0,11.0,134.0,467.0,90.0,340.0,427.0,1371.0,95.0,1327.0,968.0,287.0,1246.0,1029.0,180.0
New Hanover County,2020,196.0,207.0,678.0,231.0,537.0,40447.0,12.0,187.0,1.0,596.0,595.0,1041.0,5840.0,111.0,2676.0,3655.0,582.0,2339.0,2091.0,852.0
Northampton County,2020,2.0,2.0,0.0,31.0,12.0,0.0,3.0,31.0,59.0,6.0,78.0,149.0,636.0,20.0,216.0,65.0,41.0,355.0,174.0,3.0
Onslow County,2020,98.0,75.0,162.0,179.0,826.0,6744.0,19.0,266.0,1.0,180.0,507.0,359.0,2758.0,215.0,4282.0,1015.0,530.0,1436.0,3731.0,226.0
Orange County,2020,269.0,321.0,817.0,72.0,265.0,39255.0,10.0,104.0,567.0,545.0,223.0,446.0,3039.0,37.0,1366.0,4171.0,253.0,915.0,1105.0,1836.0
Pamlico County,2020,3.0,8.0,0.0,21.0,41.0,0.0,1.0,7.0,65.0,8.0,45.0,96.0,535.0,7.0,104.0,51.0,14.0,189.0,89.0,12.0
Pasquotank County,2020,14.0,33.0,182.0,46.0,122.0,4771.0,5.0,42.0,210.0,72.0,143.0,254.0,1568.0,31.0,516.0,414.0,55.0,519.0,459.0,110.0
Pender County,2020,28.0,16.0,43.0,58.0,57.0,458.0,2.0,44.0,579.0,47.0,198.0,253.0,1230.0,28.0,667.0,224.0,67.0,679.0,597.0,20.0
Perquimans County,2020,2.0,2.0,0.0,21.0,30.0,0.0,1.0,12.0,75.0,5.0,61.0,78.0,445.0,8.0,108.0,25.0,13.0,224.0,92.0,3.0
Person County,2020,9.0,15.0,38.0,45.0,88.0,916.0,1.0,50.0,172.0,31.0,127.0,200.0,1345.0,27.0,519.0,159.0,91.0,536.0,426.0,34.0
Pitt County,2020,144.0,198.0,847.0,196.0,476.0,43887.0,31.0,224.0,831.0,408.0,539.0,570.0,6244.0,146.0,2507.0,3870.0,493.0,1651.0,2002.0,891.0
Polk County,2020,6.0,9.0,25.0,29.0,26.0,1070.0,0.0,8.0,110.0,13.0,54.0,221.0,289.0,7.0,127.0,153.0,14.0,319.0,111.0,29.0
Randolph County,2020,38.0,50.0,145.0,201.0,321.0,4584.0,14.0,150.0,536.0,100.0,546.0,720.0,6833.0,108.0,1744.0,599.0,176.0,1870.0,1559.0,109.0
Richmond County,2020,10.0,15.0,99.0,60.0,83.0,2248.0,9.0,83.0,210.0,35.0,209.0,225.0,3988.0,74.0,700.0,293.0,97.0,660.0,600.0,40.0
Robeson County,2020,30.0,52.0,292.0,227.0,338.0,12283.0,14.0,208.0,442.0,126.0,625.0,525.0,8840.0,181.0,2005.0,916.0,268.0,1758.0,1730.0,156.0
Rockingham County,2020,22.0,40.0,218.0,141.0,1.0,5785.0,4.0,77.0,503.0,64.0,414.0,595.0,1909.0,76.0,1063.0,396.0,132.0,1452.0,931.0,87.0
Rowan County,2020,51.0,75.0,203.0,205.0,339.0,10056.0,6.0,180.0,961.0,152.0,535.0,984.0,3757.0,111.0,1876.0,1380.0,277.0,1975.0,1588.0,271.0
Rutherford County,2020,18.0,30.0,129.0,75.0,210.0,3097.0,5.0,74.0,361.0,53.0,288.0,406.0,1360.0,55.0,744.0,396.0,108.0,1053.0,628.0,74.0
Sampson County,2020,10.0,22.0,116.0,60.0,166.0,3210.0,5.0,87.0,154.0,34.0,205.0,342.0,3471.0,84.0,893.0,313.0,111.0,771.0,774.0,46.0
Scotland County,2020,8.0,21.0,97.0,43.0,65.0,6500.0,6.0,57.0,171.0,40.0,173.0,207.0,2263.0,32.0,424.0,331.0,58.0,574.0,365.0,65.0
Stanly County,2020,15.0,26.0,97.0,71.0,158.0,4205.0,3.0,49.0,455.0,54.0,194.0,406.0,2011.0,39.0,713.0,422.0,65.0,856.0,637.0,71.0
Stokes County,2020,5.0,15.0,53.0,68.0,105.0,225.0,5.0,39.0,193.0,28.0,176.0,322.0,702.0,15.0,430.0,192.0,44.0,658.0,383.0,21.0
Surry County,2020,26.0,43.0,181.0,79.0,259.0,7662.0,2.0,61.0,412.0,106.0,235.0,472.0,3718.0,60.0,830.0,649.0,71.0,1096.0,756.0,126.0
Swain County,2020,7.0,14.0,48.0,29.0,30.0,304.0,0.0,8.0,108.0,30.0,85.0,120.0,835.0,12.0,160.0,188.0,16.0,254.0,144.0,30.0
Transylvania County,2020,14.0,31.0,42.0,40.0,83.0,1348.0,2.0,21.0,171.0,22.0,72.0,267.0,1156.0,8.0,250.0,215.0,24.0,448.0,226.0,65.0
Tyrrell County,2020,0.0,1.0,0.0,3.0,20.0,0.0,0.0,1.0,16.0,3.0,13.0,0.0,116.0,5.0,37.0,11.0,4.0,50.0,33.0,1.0
Union County,2020,93.0,118.0,182.0,132.0,478.0,8972.0,13.0,200.0,1.0,191.0,451.0,697.0,3213.0,119.0,2653.0,1095.0,310.0,1680.0,2331.0,267.0
Vance County,2020,18.0,25.0,91.0,57.0,88.0,4755.0,5.0,71.0,158.0,33.0,203.0,230.0,1893.0,63.0,684.0,281.0,142.0,670.0,535.0,64.0
Wake County,2020,924.0,1030.0,1431.0,614.0,2.0,93834.0,69.0,945.0,4.0,2039.0,1735.0,2559.0,35910.0,606.0,15921.0,12047.0,3313.0,6714.0,12552.0,3137.0
Warren County,2020,4.0,1.0,0.0,37.0,31.0,0.0,4.0,19.0,65.0,5.0,90.0,140.0,631.0,12.0,220.0,38.0,39.0,311.0,178.0,4.0
Washington County,2020,2.0,2.0,25.0,10.0,24.0,0.0,1.0,14.0,29.0,16.0,47.0,114.0,455.0,17.0,135.0,55.0,18.0,196.0,117.0,6.0
Watauga County,2020,40.0,40.0,117.0,42.0,119.0,4251.0,0.0,17.0,278.0,90.0,93.0,226.0,1560.0,12.0,353.0,492.0,50.0,438.0,301.0,151.0
Wayne County,2020,45.0,64.0,255.0,126.0,409.0,9950.0,14.0,164.0,847.0,135.0,484.0,576.0,7259.0,136.0,1853.0,1192.0,304.0,1569.0,1543.0,207.0
Wilkes County,2020,13.0,39.0,120.0,75.0,228.0,3093.0,2.0,71.0,324.0,40.0,264.0,417.0,3301.0,71.0,746.0,409.0,61.0,988.0,682.0,84.0
Wilson County,2020,31.0,46.0,270.0,92.0,291.0,7189.0,10.0,112.0,461.0,77.0,294.0,625.0,3502.0,70.0,1152.0,598.0,249.0,1133.0,898.0,122.0
Yadkin County,2020,10.0,9.0,22.0,44.0,112.0,0.0,5.0,33.0,249.0,34.0,139.0,223.0,1622.0,22.0,402.0,117.0,38.0,521.0,362.0,13.0
Yancey County,2020,6.0,11.0,0.0,21.0,77.0,0.0,1.0,10.0,115.0,15.0,59.0,140.0,453.0,12.0,196.0,67.0,13.0,274.0,183.0,14.0
