County,year,Active Dentists,Active Primary Care Physicians,Beds in General Hospitals,Deaths by Injury or Violence,Divorces,General Hospital Discharges,Infant Deaths,Low-Weight Births Under 2500 Grams,Marriages,Midlevel Practitioners,Nongeriatric Deaths,Nursing Facility Beds,Persons Served in Area Mental Health Programs,Pregnancies for Females 15-19,Pregnancies for Females of All Ages,Registered Nurses,Reported Abortions,Resident Deaths,Resident Live Births,"Total Active Physicians, Nonfederal, Non-resident-in-tr",Am. Indian Alaska Native Median Household Income,Am. Indian Alaska Native Per Capita Money Income (Census),Am. Indian Alaska Native Persons in Poverty,Am. Indian Alaska Native Population for Whom Poverty Is Determined,Annual Wages by Place of Work,Average Annual Employment by Place of Work,Average Annual Wage per Worker,Black Median Household Income,Black Persons for Whom Poverty Status Is Determined,Black Persons in Poverty,Black Unemployment Rate (ACS),Employed Females Age 16 Up,Employed Males Age 16 Up,Employment by Place of Residence,Estimated Median Family Income(HUD),Families in Poverty,Families in Poverty with Female Householder,Families in Poverty with Related Children,Families in Poverty/Female Householder & Children,"Families with Income $10,000-14,999","Families with Income $15,000-24,999","Families with Income $25,000-49,999","Families with Income $50,000 or More",Female Unemployment Rate (ACS),Females Age 16 Up in Labor Force,First Quarter Payroll by Place of Work,Hispanic Median Household Income,Hispanic Persons in Poverty,Hispanic Population for Whom Poverty is Determined,Labor Force by Place of Residence,Male Unemployment Rate (ACS),Males Age 16 Up in Labor Force,Manufacturing Employment by Place of Work,Manufacturing Employment for Residents Age 16 Up,Mean Family Income,Median Family Income,Median Female Income,Median Household Income_x,Median Income,Median Male Income,Nonagric. Wage & Salary Employment by Place of Work,Nonmanuf. Employment for Residents Age 16 Up,Nonmanufacturing Employment by Place of Work,Per Capita Money Income (Census),Percent  of White Persons in Poverty,Percent of Am. Indian Alaska Native Persons in Poverty,Percent of Black Persons in Poverty,Percent of Hispanic Persons in Poverty,Percent of Persons 65 Up in Poverty,Percent of Persons in Poverty,Percent of Related Children under 18 in Poverty,Percent of Related Children under 6 in Poverty,Persons 65 Up for Whom Poverty Status Is Determined,Persons 65 Up in Poverty,Persons for Whom Poverty Status Is Determined,Persons in Poverty,Related Children under 18 in Poverty,Related Children under 18-Poverty Status Determined,Related Children under 6 in Poverty,Related Children under 6-Poverty Status Determined,Unemployed Females Age 16 Up,Unemployed Males Age 16 Up,Unemployment Rate (ACS),Unemployment Rate by Place of Residence (Percent),Unemployment by Place of Residence,White Persons for Whom Poverty Status Is Determined,White Persons in Poverty,Population Age 0-4,Population Age 10-12,Population Age 13,Population Age 14,Population Age 15,Population Age 16-17,Population Age 18,Population Age 19,Population Age 20-24,Population Age 25-29,Population Age 30-34,Population Age 35-39,Population Age 40-44,Population Age 45-49,Population Age 5,Population Age 50-54,Population Age 55-59,Population Age 6-9,Population Age 60-64,Population Age 65-69,Population Age 70-74,Population Age 75-79,Population Age 80-84,Population Age 85 and Over,FIPS,Pct HS Educated,People (<High School),National Rank (HS Education),Median Household Income_y,National Rank (Income),Percent Below Poverty,People (Below Poverty),National Rank (Poverty),Percent Unemployed,People (Unemployed),National Rank (Unemployment)
Stokes County,2020,5.0,15.0,53.0,68.0,105.0,225.0,5.0,39.0,193.0,28.0,176.0,322.0,702.0,15.0,430.0,192.0,44.0,658.0,383.0,21.0,0.0,15128.0,67.0,235.0,262334869.0,7478.0,35081.0,40822.0,1731.0,266.0,4.3,10135.0,10521.0,19638.0,68600.0,1517.0,780.0,901.0,545.0,365.0,751.0,3049.0,8187.0,1.8,10499.0,64524914.0,31991.0,636.0,1485.0,20991.0,3.8,11659.0,696.0,4387.0,73102.0,59377.0,253352.0,51668.0,315964.0,388531.0,7390.0,16686.0,6694.0,27979.0,12.92,28.51,15.37,42.83,10.08,13.63,19.4,23.2,9049.0,912.0,44976.0,6129.0,1617.0,8335.0,505.0,2177.0,364.0,699.0,3.77,6.5,1353.0,41773.0,5398.0,488.25,345.5,130.5,118.75,121.0,263.0,105.5,114.25,570.25,703.0,751.25,692.25,609.0,731.75,99.5,834.25,903.5,385.0,847.0,738.75,611.5,449.5,275.75,227.0,37169.0,13.7,4490.0,"2,124",52637.0,"1,961",14.8,6486.0,"1,857",5.4,1137.0,"1,864"
Surry County,2020,26.0,43.0,181.0,79.0,259.0,7662.0,2.0,61.0,412.0,106.0,235.0,472.0,3718.0,60.0,830.0,649.0,71.0,1096.0,756.0,126.0,0.0,23770.0,33.0,238.0,1083452393.0,26848.0,40355.0,39323.0,2575.0,769.0,10.6,14836.0,16068.0,30404.0,59800.0,2278.0,1047.0,1510.0,929.0,676.0,1884.0,4689.0,11735.0,2.3,15517.0,267314020.0,46161.0,1754.0,7817.0,32639.0,3.0,17610.0,3861.0,5456.0,76731.0,62889.0,229614.0,44979.0,271953.0,334752.0,24457.0,26108.0,20596.0,26074.0,15.59,13.87,29.86,22.44,13.85,16.43,21.59,28.96,14143.0,1959.0,70941.0,11653.0,3212.0,14877.0,1269.0,4382.0,681.0,843.0,3.575,6.9,2236.0,63372.0,9880.0,929.0,663.25,231.0,227.0,221.25,447.75,219.0,226.25,1211.0,1223.75,925.25,918.5,981.25,1190.5,186.0,1246.75,1276.25,762.25,1211.5,1063.25,958.25,650.75,459.0,407.5,37171.0,19.0,9604.0,"2,755",50881.0,"2,140",16.6,11691.0,"2,196",4.5,1520.0,"1,327"
Swain County,2020,7.0,14.0,48.0,29.0,30.0,304.0,0.0,8.0,108.0,30.0,85.0,120.0,835.0,12.0,160.0,188.0,16.0,254.0,144.0,30.0,49107.0,22442.0,551.0,4294.0,379359531.0,9674.0,39214.0,0.0,64.0,38.0,57.14,2938.0,2847.0,6351.0,47700.0,442.0,300.0,274.0,216.0,124.0,316.0,889.0,2302.0,4.3,3191.0,97384098.0,93796.0,170.0,858.0,6939.0,2.3,3087.0,0.0,180.0,69983.0,63789.0,228514.0,45554.0,256179.0,289740.0,9233.0,5718.0,9233.0,24234.0,15.38,12.83,59.38,19.81,8.57,16.96,24.09,45.83,2580.0,221.0,14039.0,2381.0,755.0,3134.0,390.0,851.0,253.0,127.0,4.65,8.4,588.0,9062.0,1394.0,203.5,133.25,43.0,46.75,49.0,90.0,35.0,38.25,203.0,212.25,227.25,220.75,197.25,212.75,52.0,197.5,233.5,198.0,218.25,205.25,186.75,147.25,90.75,79.25,37173.0,14.9,1444.0,"2,309",48608.0,"2,326",18.7,2614.0,"2,504",7.7,473.0,"2,755"
Transylvania County,2020,14.0,31.0,42.0,40.0,83.0,1348.0,2.0,21.0,171.0,22.0,72.0,267.0,1156.0,8.0,250.0,215.0,24.0,448.0,226.0,65.0,0.0,19838.0,0.0,118.0,347100358.0,8908.0,38965.0,62536.0,1286.0,491.0,14.26,6868.0,7091.0,13278.0,56700.0,1008.0,455.0,663.0,406.0,235.0,748.0,2298.0,6093.0,2.2,7205.0,82223068.0,27159.0,315.0,1080.0,14146.0,3.4,7812.0,742.0,1616.0,80869.0,64537.0,242748.0,51509.0,297198.0,367983.0,8869.0,12590.0,8127.0,30577.0,13.33,0.0,38.18,29.17,7.87,14.44,23.5,23.41,10022.0,789.0,32984.0,4764.0,1230.0,5234.0,367.0,1568.0,337.0,474.0,4.07,6.2,868.0,30322.0,4043.0,324.75,229.75,75.5,79.0,80.0,186.25,97.75,113.5,408.75,314.25,429.0,482.5,467.25,408.75,70.25,446.75,538.75,269.75,565.25,603.25,619.0,542.75,407.25,467.0,37175.0,8.0,2023.0,875,57830.0,"1,392",13.1,4187.0,"1,482",4.9,742.0,"1,606"
Tyrrell County,2020,0.0,1.0,0.0,3.0,20.0,0.0,0.0,1.0,16.0,3.0,13.0,0.0,116.0,5.0,37.0,11.0,4.0,50.0,33.0,1.0,0.0,0.0,13.0,13.0,34066937.0,934.0,36474.0,31373.0,996.0,342.0,6.1,722.0,743.0,1238.0,42900.0,153.0,81.0,119.0,81.0,87.0,104.0,232.0,633.0,3.1,767.0,8180131.0,54135.0,48.0,164.0,1359.0,0.8,792.0,68.0,68.0,64470.0,52016.0,203555.0,38250.0,234443.0,256883.0,761.0,1429.0,693.0,21129.0,10.1,100.0,34.34,29.27,11.37,18.91,41.99,40.74,871.0,99.0,3178.0,601.0,207.0,493.0,55.0,135.0,45.0,17.0,2.875,9.1,121.0,2000.0,202.0,46.75,20.25,7.5,7.75,5.75,12.0,5.75,6.5,32.75,37.0,44.25,63.5,54.75,46.75,9.5,44.5,61.25,36.0,57.75,40.75,42.25,31.0,33.25,36.0,37177.0,23.8,627.0,"3,016",40938.0,"2,856",16.7,449.0,"2,215",3.6,48.0,797
Union County,2020,93.0,118.0,182.0,132.0,478.0,8972.0,13.0,200.0,1.0,191.0,451.0,697.0,3213.0,119.0,2653.0,1095.0,310.0,1680.0,2331.0,267.0,71150.0,25006.0,105.0,568.0,3038030329.0,62819.0,48362.0,65442.0,26703.0,4075.0,8.69,53391.0,60022.0,113926.0,83500.0,3225.0,1689.0,2355.0,1377.0,865.0,2153.0,9347.0,48687.0,3.0,56188.0,751394265.0,65027.0,3711.0,26296.0,121173.0,3.3,66212.0,11583.0,14372.0,125021.0,94299.0,288552.0,82557.0,390148.0,494582.0,62098.0,102125.0,50515.0,37667.0,6.12,18.49,15.26,14.11,6.8100000000000005,7.43,9.2,9.78,29194.0,1987.0,232835.0,17290.0,5711.0,62048.0,1565.0,15996.0,2772.0,2943.0,3.915,6.1,7247.0,184963.0,11315.0,2985.75,2379.75,909.0,968.25,989.75,2097.75,1045.25,948.25,4063.25,3839.0,3628.0,3391.75,3730.75,4656.0,613.75,4945.5,4452.25,2596.0,3535.0,2705.5,2274.5,1572.5,885.5,603.5,37179.0,9.9,14938.0,"1,345",88465.0,153,7.2,16712.0,258,4.5,5583.0,"1,331"
Vance County,2020,18.0,25.0,91.0,57.0,88.0,4755.0,5.0,71.0,158.0,33.0,203.0,230.0,1893.0,63.0,684.0,281.0,142.0,670.0,535.0,64.0,0.0,9878.0,409.0,499.0,531991128.0,13533.0,39311.0,35940.0,21699.0,5460.0,11.41,10137.0,8630.0,15388.0,48100.0,1629.0,1040.0,1239.0,956.0,318.0,1068.0,3006.0,5681.0,4.9,11085.0,133411453.0,40368.0,1111.0,3538.0,17120.0,4.4,9673.0,1342.0,2960.0,68783.0,51913.0,229680.0,41827.0,261052.0,298936.0,13462.0,16141.0,12120.0,23911.0,13.83,81.96,25.16,31.4,13.21,20.03,27.55,39.0,7904.0,1044.0,44051.0,8822.0,2871.0,10420.0,1188.0,3046.0,948.0,709.0,6.3149999999999995,10.1,1731.0,18390.0,2544.0,677.5,403.0,148.75,143.5,141.5,277.25,146.75,160.75,649.25,761.5,661.75,555.5,574.75,628.25,132.75,669.25,685.5,524.5,675.75,622.75,537.25,361.0,220.75,248.75,37181.0,15.6,4495.0,"2,396",45243.0,"2,579",19.4,8208.0,"2,592",6.5,1294.0,"2,416"
Wake County,2020,924.0,1030.0,1431.0,614.0,2.0,93834.0,69.0,945.0,4.0,2039.0,1735.0,2559.0,35910.0,606.0,15921.0,12047.0,3313.0,6714.0,12552.0,3137.0,69318.0,31792.0,316.0,3253.0,35819007302.0,550680.0,65045.0,55473.0,214718.0,28820.0,7.45,276513.0,294560.0,546490.0,94100.0,14718.0,7230.0,11687.0,6355.0,3762.0,11312.0,35269.0,215819.0,2.8,288978.0,9324840025.0,56628.0,17637.0,109732.0,584089.0,3.1,316866.0,20235.0,48668.0,130935.0,104072.0,376387.0,83567.0,453079.0,554631.0,550679.0,530752.0,530444.0,42721.0,6.08,9.71,13.42,16.07,7.12,8.52,10.45,11.53,124884.0,8894.0,1068810.0,91083.0,26917.0,257483.0,9422.0,81710.0,12373.0,12979.0,3.5250000000000004,6.5,37598.0,681801.0,41457.0,16010.5,10915.75,3926.75,3977.0,4032.5,8118.75,4032.5,4032.5,18704.0,18514.0,20322.75,22267.75,22447.0,21629.5,3272.5,19927.25,18262.25,13275.0,15564.0,12204.75,9492.75,6012.75,3590.25,3173.25,37183.0,6.3,47387.0,437,88471.0,152,8.5,93182.0,455,4.3,26589.0,"1,207"
Warren County,2020,4.0,1.0,0.0,37.0,31.0,0.0,4.0,19.0,65.0,5.0,90.0,140.0,631.0,12.0,220.0,38.0,39.0,311.0,178.0,4.0,32375.0,22946.0,229.0,1101.0,107325790.0,2978.0,36040.0,31400.0,9407.0,2510.0,10.94,4028.0,3300.0,5919.0,51100.0,828.0,625.0,628.0,595.0,194.0,713.0,1254.0,2529.0,4.0,4371.0,25462345.0,36359.0,146.0,719.0,6560.0,5.0,3936.0,364.0,1434.0,68638.0,50454.0,208241.0,37476.0,243012.0,311575.0,2961.0,6123.0,2597.0,25340.0,13.89,20.8,26.68,20.31,13.84,20.9,35.88,30.78,4900.0,678.0,18866.0,3943.0,1256.0,3501.0,330.0,1072.0,343.0,407.0,6.73,9.8,641.0,7389.0,1026.0,203.0,159.75,56.75,57.25,54.75,95.75,44.5,44.0,220.5,312.25,361.5,314.25,253.75,253.5,43.75,259.25,300.75,165.75,300.0,300.0,270.75,232.5,157.5,185.75,37185.0,14.3,1990.0,"2,224",39588.0,"2,923",19.4,3511.0,"2,580",9.1,721.0,"2,935"
Washington County,2020,2.0,2.0,25.0,10.0,24.0,0.0,1.0,14.0,29.0,16.0,47.0,114.0,455.0,17.0,135.0,55.0,18.0,196.0,117.0,6.0,0.0,13323.0,0.0,50.0,128468195.0,3082.0,41683.0,20553.0,5669.0,2323.0,11.67,2114.0,2001.0,4034.0,50800.0,624.0,530.0,549.0,530.0,42.0,339.0,847.0,1258.0,3.5,2300.0,33084051.0,0.0,172.0,635.0,4392.0,3.2,2244.0,642.0,554.0,66894.0,47385.0,170214.0,30941.0,216381.0,341011.0,2774.0,3601.0,2132.0,23249.0,13.15,0.0,40.98,27.09,11.13,27.34,45.73,49.03,2802.0,312.0,11615.0,3175.0,1056.0,2309.0,176.0,359.0,186.0,141.0,5.225,8.2,358.0,5307.0,698.0,154.75,111.75,37.75,39.0,31.5,69.75,23.25,24.0,125.25,159.5,132.0,115.0,119.0,134.5,26.75,173.5,198.0,121.5,210.75,230.0,179.5,129.75,83.25,103.5,37187.0,16.5,1311.0,"2,494",32937.0,"3,087",24.2,2675.0,"2,927",9.2,401.0,"2,939"
Watauga County,2020,40.0,40.0,117.0,42.0,119.0,4251.0,0.0,17.0,278.0,90.0,93.0,226.0,1560.0,12.0,353.0,492.0,50.0,438.0,301.0,151.0,0.0,15591.0,18.0,271.0,893255638.0,22180.0,40273.0,0.0,609.0,280.0,28.44,12465.0,13875.0,26261.0,69400.0,967.0,409.0,670.0,351.0,185.0,756.0,2318.0,7496.0,4.9,13675.0,217230535.0,31319.0,722.0,1719.0,27997.0,5.6,15909.0,589.0,1228.0,96531.0,75042.0,184107.0,46453.0,218020.0,254650.0,17424.0,25731.0,16835.0,27962.0,23.38,6.64,45.98,42.0,5.94,24.46,19.19,20.15,8748.0,520.0,49752.0,12171.0,1342.0,6995.0,454.0,2253.0,1210.0,1370.0,6.92,6.4,1736.0,46792.0,10938.0,435.5,293.0,99.75,99.5,100.75,193.25,467.25,851.75,2868.0,765.0,746.75,664.75,553.0,568.25,90.75,594.25,673.25,352.25,700.0,706.0,626.75,450.25,293.5,283.75,37189.0,6.9,2195.0,573,48786.0,"2,309",23.2,11203.0,"2,877",8.9,2550.0,"2,908"
Wayne County,2020,45.0,64.0,255.0,126.0,409.0,9950.0,14.0,164.0,847.0,135.0,484.0,576.0,7259.0,136.0,1853.0,1192.0,304.0,1569.0,1543.0,207.0,56313.0,28945.0,6.0,299.0,1674314538.0,40311.0,41535.0,37457.0,36716.0,9397.0,8.8,26236.0,25777.0,47430.0,54100.0,4821.0,3060.0,3699.0,2497.0,1304.0,2721.0,7887.0,18524.0,2.6,28017.0,403695590.0,40799.0,4847.0,14639.0,50708.0,3.6,31095.0,5300.0,7348.0,77949.0,59689.0,245113.0,47221.0,287661.0,349019.0,39101.0,45710.0,33801.0,26362.0,15.36,2.01,25.59,33.11,10.31,18.7,30.17,34.66,19991.0,2062.0,120744.0,22581.0,8700.0,28838.0,3360.0,9694.0,1329.0,1702.0,4.08,6.5,3278.0,75054.0,11530.0,1988.75,1209.75,423.75,432.25,412.0,793.75,399.5,391.5,2036.75,1787.25,1731.75,1933.5,1653.0,1648.0,395.5,1710.5,1932.0,1608.0,1854.25,1571.0,1261.5,873.25,608.0,591.75,37191.0,14.2,11071.0,"2,207",49488.0,"2,263",18.6,21389.0,"2,496",4.4,2388.0,"1,275"
Wilkes County,2020,13.0,39.0,120.0,75.0,228.0,3093.0,2.0,71.0,324.0,40.0,264.0,417.0,3301.0,71.0,746.0,409.0,61.0,988.0,682.0,84.0,0.0,11731.0,41.0,130.0,799144671.0,19998.0,39961.0,29559.0,2485.0,526.0,18.86,13885.0,15259.0,26544.0,53700.0,2342.0,1003.0,1763.0,909.0,551.0,1678.0,5101.0,11044.0,2.4,14583.0,198507747.0,45789.0,1397.0,4366.0,28483.0,3.5,16767.0,4209.0,5147.0,70035.0,57667.0,220946.0,44980.0,272404.0,326392.0,17085.0,24484.0,12876.0,25634.0,15.47,31.54,21.17,32.0,9.56,16.42,26.45,30.49,14351.0,1372.0,67194.0,11033.0,3530.0,13348.0,1156.0,3791.0,687.0,968.0,4.12,6.8,1939.0,60841.0,9415.0,840.0,567.5,194.5,199.0,195.75,397.0,199.25,195.0,944.75,996.25,990.0,965.75,930.0,1048.0,173.25,1066.0,1195.0,657.25,1141.75,1042.75,916.25,693.75,478.25,429.75,37193.0,18.8,9024.0,"2,734",46079.0,"2,520",17.3,11293.0,"2,318",5.8,1730.0,"2,133"
Wilson County,2020,31.0,46.0,270.0,92.0,291.0,7189.0,10.0,112.0,461.0,77.0,294.0,625.0,3502.0,70.0,1152.0,598.0,249.0,1133.0,898.0,122.0,0.0,7606.0,289.0,372.0,1658649871.0,34954.0,47452.0,35021.0,31816.0,8264.0,14.99,18018.0,16486.0,31380.0,61000.0,2843.0,1433.0,2309.0,1344.0,781.0,2038.0,4879.0,11982.0,4.6,19619.0,438548083.0,29461.0,3336.0,8514.0,34441.0,5.7,18846.0,6936.0,5850.0,75219.0,60313.0,240306.0,44594.0,268873.0,311751.0,34133.0,29228.0,27197.0,24656.0,10.04,77.69,25.97,39.18,14.84,19.94,31.54,35.73,14289.0,2120.0,80062.0,15965.0,5825.0,18470.0,1887.0,5282.0,1589.0,1715.0,6.765,8.9,3062.0,39910.0,4006.0,1180.5,805.25,262.75,261.25,264.25,519.0,241.5,240.75,1167.75,1331.0,1314.25,1244.5,1177.5,1166.5,234.25,1228.5,1299.25,940.5,1250.0,1157.5,930.25,633.25,424.5,387.25,37195.0,17.8,9600.0,"2,626",47348.0,"2,409",18.9,14610.0,"2,530",8.2,3028.0,"2,812"
Yadkin County,2020,10.0,9.0,22.0,44.0,112.0,0.0,5.0,33.0,249.0,34.0,139.0,223.0,1622.0,22.0,402.0,117.0,38.0,521.0,362.0,13.0,42500.0,11822.0,11.0,120.0,356990918.0,9187.0,38858.0,26786.0,1175.0,209.0,3.75,7572.0,8804.0,16074.0,68600.0,991.0,405.0,761.0,333.0,156.0,980.0,2535.0,6252.0,3.4,8102.0,88096565.0,34985.0,1284.0,4138.0,17306.0,2.4,9512.0,2445.0,3447.0,76495.0,63053.0,245454.0,46954.0,297154.0,371382.0,8163.0,13242.0,5718.0,26907.0,12.81,9.17,17.79,31.03,7.8,14.11,22.47,23.03,7235.0,564.0,37199.0,5248.0,1734.0,7716.0,553.0,2401.0,530.0,366.0,3.9450000000000003,7.2,1231.0,34029.0,4358.0,471.5,329.25,114.25,123.5,117.25,230.5,97.0,111.75,567.5,584.5,551.75,531.0,502.25,594.0,90.5,684.5,703.5,393.75,629.75,551.25,500.75,361.75,236.5,218.5,37197.0,14.4,3813.0,"2,236",51348.0,"2,098",15.4,5685.0,"1,998",4.8,854.0,"1,542"
Yancey County,2020,6.0,11.0,0.0,21.0,77.0,0.0,1.0,10.0,115.0,15.0,59.0,140.0,453.0,12.0,196.0,67.0,13.0,274.0,183.0,14.0,0.0,17385.0,22.0,93.0,171209122.0,4296.0,39853.0,0.0,73.0,3.0,8.82,3579.0,3690.0,7649.0,53400.0,461.0,199.0,330.0,185.0,61.0,402.0,1371.0,2963.0,2.4,3763.0,42307224.0,35382.0,348.0,928.0,8189.0,5.5,4202.0,1104.0,1247.0,72414.0,59923.0,223124.0,44554.0,270589.0,345400.0,3735.0,6096.0,2631.0,25767.0,13.77,23.66,4.11,37.5,7.84,14.66,21.1,21.73,4530.0,355.0,17716.0,2597.0,683.0,3237.0,218.0,1003.0,184.0,399.0,5.54,6.7,540.0,16897.0,2327.0,218.5,134.25,50.75,50.25,54.75,108.0,45.5,46.5,230.0,279.75,286.5,255.75,259.0,286.0,45.5,298.0,308.75,176.25,318.25,322.5,305.25,229.25,163.5,150.0,37199.0,12.0,1654.0,"1,837",45324.0,"2,573",14.7,2686.0,"1,846",7.9,646.0,"2,777"
