area_name,year,Am. Indian Alaska Native Median Household Income,Am. Indian Alaska Native Per Capita Money Income (Census),Am. Indian Alaska Native Persons in Poverty,Am. Indian Alaska Native Population for Whom Poverty Is Determined,Annual Wages by Place of Work,Average Annual Employment by Place of Work,Average Annual Wage per Worker,Black Median Household Income,Black Persons for Whom Poverty Status Is Determined,Black Persons in Poverty,Black Unemployment Rate (ACS),Employed Females Age 16 Up,Employed Males Age 16 Up,Employment by Place of Residence,Estimated Median Family Income(HUD),Families in Poverty,Families in Poverty with Female Householder,Families in Poverty with Related Children,Families in Poverty/Female Householder & Children,"Families with Income $10,000-14,999","Families with Income $15,000-24,999","Families with Income $25,000-49,999","Families with Income $50,000 or More",Female Unemployment Rate (ACS),Females Age 16 Up in Labor Force,First Quarter Payroll by Place of Work,Hispanic Median Household Income,Hispanic Persons in Poverty,Hispanic Population for Whom Poverty is Determined,Labor Force by Place of Residence,Male Unemployment Rate (ACS),Males Age 16 Up in Labor Force,Manufacturing Employment by Place of Work,Manufacturing Employment for Residents Age 16 Up,Mean Family Income,Median Family Income,Median Female Income,Median Household Income,Median Income,Median Male Income,Nonagric. Wage & Salary Employment by Place of Work,Nonmanuf. Employment for Residents Age 16 Up,Nonmanufacturing Employment by Place of Work,Per Capita Money Income (Census),Percent  of White Persons in Poverty,Percent of Am. Indian Alaska Native Persons in Poverty,Percent of Black Persons in Poverty,Percent of Hispanic Persons in Poverty,Percent of Persons 65 Up in Poverty,Percent of Persons in Poverty,Percent of Related Children under 18 in Poverty,Percent of Related Children under 6 in Poverty,Persons 65 Up for Whom Poverty Status Is Determined,Persons 65 Up in Poverty,Persons for Whom Poverty Status Is Determined,Persons in Poverty,Related Children under 18 in Poverty,Related Children under 18-Poverty Status Determined,Related Children under 6 in Poverty,Related Children under 6-Poverty Status Determined,Unemployed Females Age 16 Up,Unemployed Males Age 16 Up,Unemployment Rate (ACS),Unemployment Rate by Place of Residence (Percent),Unemployment by Place of Residence,White Persons for Whom Poverty Status Is Determined,White Persons in Poverty
Edgecombe County,2020,0.0,25288.0,25.0,176.0,605530686.0,15146.0,39980.0,35050.0,29598.0,8102.0,10.97,11450.0,9472.0,18511.0,57700.0,2624.0,1779.0,2061.0,1578.0,438.0,1251.0,4388.0,6777.0,4.3,12442.0,150615052.0,39183.0,667.0,2503.0,20702.0,5.7,10899.0,2723.0,3980.0,60450.0,47094.0,247203.0,40489.0,267278.0,291302.0,13228.0,17283.0,10505.0,21595.0,14.36,14.2,27.37,26.65,12.94,22.28,36.29,42.86,10016.0,1296.0,51372.0,11446.0,4169.0,11488.0,1486.0,3467.0,979.0,1086.0,6.775,10.6,2191.0,20136.0,2892.0
Forsyth County,2020,50139.0,15512.0,321.0,1310.0,10193145380.0,181664.0,56110.0,36737.0,93996.0,22023.0,7.38,87195.0,86333.0,170449.0,68600.0,10181.0,5724.0,7820.0,4861.0,2158.0,6271.0,19566.0,60615.0,3.0,92013.0,2811309792.0,39968.0,14833.0,48927.0,184149.0,3.1,94037.0,15882.0,21939.0,93661.0,68887.0,279686.0,53583.0,330484.0,388619.0,181666.0,154210.0,165784.0,31201.0,12.18,24.5,23.43,30.32,8.87,15.83,23.95,24.57,59342.0,5261.0,367643.0,58180.0,20645.0,86202.0,6557.0,26688.0,4784.0,4415.0,3.945,7.5,13700.0,237910.0,28969.0
Franklin County,2020,34075.0,20558.0,119.0,644.0,566223279.0,11972.0,47296.0,50515.0,15601.0,2433.0,9.64,14863.0,15769.0,28909.0,94100.0,1589.0,697.0,1163.0,531.0,437.0,2041.0,3661.0,12143.0,3.3,15776.0,140746014.0,43500.0,1286.0,5831.0,31029.0,5.0,17637.0,2683.0,3561.0,79348.0,70061.0,268323.0,58172.0,314391.0,354618.0,11816.0,27559.0,9133.0,27588.0,8.83,18.48,15.6,22.05,7.01,11.42,17.85,19.91,11208.0,786.0,66459.0,7592.0,2638.0,14777.0,918.0,4611.0,913.0,1357.0,5.415,6.9,2120.0,44623.0,3941.0
Gaston County,2020,44167.0,19866.0,113.0,654.0,3088340508.0,70138.0,44032.0,43191.0,36175.0,6799.0,8.58,50241.0,52440.0,100744.0,83500.0,5717.0,2871.0,4285.0,2653.0,1198.0,3843.0,12594.0,36149.0,3.6,53629.0,773674435.0,42788.0,3634.0,15969.0,109526.0,3.9,57472.0,13895.0,16578.0,84202.0,66558.0,256201.0,53474.0,310838.0,374033.0,70031.0,87613.0,56136.0,28526.0,12.06,17.28,18.79,22.76,10.73,13.62,18.32,21.72,34769.0,3730.0,218537.0,29771.0,8916.0,48666.0,3371.0,15523.0,3388.0,3269.0,4.800000000000001,8.1,8782.0,165755.0,19983.0
Gates County,2020,54306.0,29625.0,0.0,93.0,63294693.0,1552.0,40783.0,34454.0,3604.0,976.0,19.85,2346.0,2504.0,4779.0,68000.0,342.0,249.0,243.0,213.0,163.0,262.0,809.0,1742.0,6.0,2644.0,14862073.0,0.0,0.0,11.0,5069.0,5.0,2764.0,144.0,769.0,71598.0,58200.0,245520.0,45871.0,315491.0,412852.0,1222.0,4112.0,1078.0,26053.0,7.07,0.0,27.08,0.0,15.88,12.99,18.07,12.88,2330.0,370.0,11443.0,1487.0,414.0,2291.0,59.0,458.0,289.0,229.0,7.515,5.8,290.0,7231.0,511.0
Graham County,2020,68750.0,20678.0,79.0,764.0,74744049.0,1910.0,39133.0,0.0,3.0,3.0,100.0,1657.0,1685.0,2772.0,49400.0,246.0,69.0,137.0,44.0,60.0,175.0,718.0,1189.0,1.9,1729.0,17021797.0,0.0,175.0,316.0,3077.0,1.5,1830.0,39.0,219.0,61184.0,51116.0,175406.0,42207.0,234465.0,314985.0,1843.0,3220.0,1804.0,23034.0,12.49,10.34,100.0,55.38,9.8,13.97,16.17,20.43,1909.0,187.0,8369.0,1169.0,267.0,1651.0,86.0,421.0,72.0,48.0,2.495,9.9,305.0,7326.0,915.0
Granville County,2020,0.0,20571.0,77.0,160.0,980480739.0,20122.0,48727.0,46452.0,16035.0,3698.0,5.94,13559.0,13271.0,27832.0,65300.0,1745.0,895.0,1063.0,790.0,721.0,962.0,3237.0,10060.0,2.5,14182.0,245440870.0,38902.0,764.0,4732.0,29566.0,3.0,14409.0,3948.0,4137.0,83823.0,67213.0,290257.0,56924.0,323224.0,357555.0,19840.0,23075.0,15892.0,27723.0,9.35,48.13,23.06,16.15,11.38,14.21,20.94,21.13,9790.0,1114.0,56599.0,8042.0,2459.0,11742.0,713.0,3374.0,602.0,744.0,3.6750000000000003,5.9,1734.0,34732.0,3248.0
Greene County,2020,0.0,3853.0,0.0,24.0,167806183.0,4356.0,38523.0,30544.0,5899.0,1671.0,8.01,3968.0,4094.0,9012.0,54100.0,661.0,372.0,567.0,359.0,205.0,558.0,1171.0,2602.0,2.1,4126.0,39604990.0,40325.0,1078.0,2986.0,9551.0,3.6,4755.0,291.0,1324.0,64585.0,55636.0,225005.0,43563.0,241285.0,273482.0,4263.0,7057.0,3972.0,19415.0,17.97,0.0,28.33,36.1,11.07,21.21,33.35,37.11,3226.0,357.0,18525.0,3929.0,1378.0,4132.0,439.0,1183.0,158.0,342.0,4.185,5.7,539.0,10950.0,1968.0
Guilford County,2020,39205.0,15462.0,696.0,2492.0,14300591236.0,270641.0,52840.0,43710.0,172542.0,39837.0,9.22,127704.0,125435.0,234933.0,66600.0,14556.0,8949.0,11446.0,7931.0,3345.0,9630.0,27419.0,84175.0,3.7,136251.0,3714989005.0,43569.0,10701.0,42170.0,256997.0,3.8,137265.0,31049.0,33148.0,93414.0,70547.0,279719.0,54794.0,331903.0,392348.0,270644.0,223870.0,239595.0,31798.0,9.61,27.93,23.09,25.38,10.42,15.28,21.58,23.5,78973.0,8226.0,513209.0,78408.0,25107.0,116328.0,8572.0,36480.0,8425.0,7572.0,4.745,8.6,22064.0,279667.0,26870.0
Halifax County,2020,27750.0,24134.0,641.0,1764.0,553817095.0,14761.0,37519.0,26810.0,25797.0,8579.0,7.87,9017.0,9567.0,18237.0,45200.0,3043.0,1968.0,2211.0,1689.0,857.0,1749.0,3949.0,6029.0,2.7,9595.0,139901401.0,50814.0,253.0,1436.0,20080.0,3.7,10465.0,2142.0,3633.0,60724.0,45252.0,186197.0,35904.0,228547.0,279477.0,14761.0,15112.0,12619.0,21902.0,15.6,36.34,33.26,17.62,18.66,25.63,36.38,38.11,10229.0,1909.0,49381.0,12654.0,3860.0,10609.0,1279.0,3356.0,578.0,724.0,4.785,9.2,1844.0,19555.0,3050.0
Harnett County,2020,29904.0,19484.0,287.0,1215.0,986679528.0,25257.0,39066.0,45848.0,27515.0,6247.0,7.87,26089.0,26901.0,48916.0,64800.0,3592.0,1838.0,2721.0,1662.0,1031.0,2133.0,6491.0,20860.0,3.6,28333.0,240024594.0,50349.0,3222.0,17173.0,52873.0,3.7,33637.0,1625.0,6104.0,77827.0,67029.0,232683.0,54565.0,303369.0,397034.0,21114.0,47842.0,19489.0,24693.0,13.44,23.62,22.7,18.76,13.16,15.82,21.54,21.58,16472.0,2168.0,130817.0,20694.0,7422.0,34461.0,2545.0,11793.0,1916.0,1887.0,4.885,7.6,3957.0,87340.0,11741.0
Haywood County,2020,0.0,17969.0,30.0,326.0,669681224.0,16736.0,40014.0,0.0,534.0,202.0,0.0,13937.0,13671.0,26503.0,60400.0,1654.0,947.0,1183.0,773.0,577.0,1368.0,3585.0,11029.0,1.7000000000000002,14416.0,166906287.0,37917.0,846.0,2557.0,28663.0,2.9,14828.0,2494.0,3352.0,78412.0,66508.0,253517.0,51548.0,304821.0,374341.0,16682.0,24675.0,14188.0,30336.0,11.44,9.2,37.83,33.09,6.31,12.21,20.12,29.0,14965.0,944.0,61111.0,7459.0,2161.0,10738.0,1047.0,3610.0,464.0,720.0,3.145,7.6,2160.0,57738.0,6606.0
Henderson County,2020,0.0,19102.0,1.0,322.0,1671313216.0,38654.0,43238.0,43013.0,3963.0,733.0,3.88,25556.0,27588.0,48836.0,72500.0,2511.0,1253.0,1703.0,1105.0,806.0,1818.0,6557.0,23351.0,1.4,26274.0,406826136.0,38250.0,2726.0,11634.0,52455.0,2.2,30042.0,4824.0,7575.0,87341.0,71966.0,268543.0,58928.0,330440.0,403040.0,37407.0,46996.0,32583.0,32306.0,9.24,0.31,18.5,23.43,6.02,10.48,16.26,19.43,29245.0,1762.0,114899.0,12038.0,3508.0,21572.0,1284.0,6609.0,700.0,1000.0,2.39,7.0,3618.0,104324.0,9640.0
Hertford County,2020,32917.0,16314.0,113.0,272.0,365948680.0,8784.0,41661.0,36692.0,13059.0,3161.0,10.87,4667.0,4098.0,8389.0,46100.0,706.0,460.0,487.0,409.0,151.0,539.0,1601.0,2749.0,4.0,5072.0,91771494.0,47955.0,211.0,500.0,9016.0,4.2,4756.0,957.0,1445.0,65058.0,53174.0,218548.0,42588.0,247346.0,296725.0,8358.0,7538.0,7401.0,21715.0,11.54,41.54,24.21,42.2,12.03,20.47,32.89,40.32,4615.0,555.0,21523.0,4406.0,1455.0,4424.0,481.0,1193.0,405.0,412.0,6.165,7.0,627.0,7512.0,867.0
