area_name,year,Am. Indian Alaska Native Median Household Income,Am. Indian Alaska Native Per Capita Money Income (Census),Am. Indian Alaska Native Persons in Poverty,Am. Indian Alaska Native Population for Whom Poverty Is Determined,Annual Wages by Place of Work,Average Annual Employment by Place of Work,Average Annual Wage per Worker,Black Median Household Income,Black Persons for Whom Poverty Status Is Determined,Black Persons in Poverty,Black Unemployment Rate (ACS),Employed Females Age 16 Up,Employed Males Age 16 Up,Employment by Place of Residence,Estimated Median Family Income(HUD),Families in Poverty,Families in Poverty with Female Householder,Families in Poverty with Related Children,Families in Poverty/Female Householder & Children,"Families with Income $10,000-14,999","Families with Income $15,000-24,999","Families with Income $25,000-49,999","Families with Income $50,000 or More",Female Unemployment Rate (ACS),Females Age 16 Up in Labor Force,First Quarter Payroll by Place of Work,Hispanic Median Household Income,Hispanic Persons in Poverty,Hispanic Population for Whom Poverty is Determined,Labor Force by Place of Residence,Male Unemployment Rate (ACS),Males Age 16 Up in Labor Force,Manufacturing Employment by Place of Work,Manufacturing Employment for Residents Age 16 Up,Mean Family Income,Median Family Income,Median Female Income,Median Household Income,Median Income,Median Male Income,Nonagric. Wage & Salary Employment by Place of Work,Nonmanuf. Employment for Residents Age 16 Up,Nonmanufacturing Employment by Place of Work,Per Capita Money Income (Census),Percent  of White Persons in Poverty,Percent of Am. Indian Alaska Native Persons in Poverty,Percent of Black Persons in Poverty,Percent of Hispanic Persons in Poverty,Percent of Persons 65 Up in Poverty,Percent of Persons in Poverty,Percent of Related Children under 18 in Poverty,Percent of Related Children under 6 in Poverty,Persons 65 Up for Whom Poverty Status Is Determined,Persons 65 Up in Poverty,Persons for Whom Poverty Status Is Determined,Persons in Poverty,Related Children under 18 in Poverty,Related Children under 18-Poverty Status Determined,Related Children under 6 in Poverty,Related Children under 6-Poverty Status Determined,Unemployed Females Age 16 Up,Unemployed Males Age 16 Up,Unemployment Rate (ACS),Unemployment Rate by Place of Residence (Percent),Unemployment by Place of Residence,White Persons for Whom Poverty Status Is Determined,White Persons in Poverty
Hoke County,2020,41410.0,17055.0,1180.0,4087.0,319850105.0,8417.0,38000.0,47852.0,17346.0,3506.0,5.69,10697.0,8986.0,18049.0,54800.0,1841.0,1045.0,1369.0,882.0,397.0,702.0,2793.0,7628.0,4.3,11857.0,76038944.0,50237.0,2294.0,7376.0,19759.0,4.1,12511.0,1908.0,2552.0,77026.0,62789.0,237655.0,51140.0,297099.0,394581.0,7010.0,17568.0,5102.0,23066.0,13.37,28.87,20.21,31.1,12.51,18.59,23.12,27.12,5266.0,659.0,52716.0,9800.0,3304.0,14293.0,1322.0,4874.0,904.0,814.0,5.57,8.7,1710.0,23531.0,3147.0
Hyde County,2020,0.0,0.0,0.0,0.0,60565743.0,1676.0,36137.0,27866.0,1184.0,463.0,16.62,905.0,958.0,1614.0,58100.0,309.0,145.0,265.0,145.0,55.0,149.0,293.0,764.0,1.6,935.0,13684819.0,64107.0,4.0,640.0,1796.0,2.7,1025.0,177.0,212.0,51893.0,51471.0,230318.0,46667.0,234025.0,245157.0,1494.0,1659.0,1317.0,17942.0,15.7,0.0,39.1,0.63,7.26,21.64,26.34,25.67,936.0,68.0,4560.0,987.0,285.0,1082.0,106.0,413.0,30.0,59.0,3.345,10.2,183.0,3044.0,478.0
Iredell County,2020,0.0,18767.0,137.0,539.0,4095239817.0,74527.0,54950.0,42445.0,21327.0,4267.0,7.4,40259.0,45678.0,82336.0,73100.0,3965.0,2219.0,2769.0,1902.0,921.0,2840.0,9922.0,34434.0,2.6,42190.0,978239790.0,47055.0,2639.0,13658.0,88854.0,3.6,49806.0,11389.0,16093.0,102334.0,73346.0,261063.0,62551.0,342914.0,452034.0,66988.0,71421.0,55599.0,35261.0,8.12,25.42,20.01,19.32,6.6,9.8,13.58,18.0,27989.0,1846.0,177084.0,17360.0,5451.0,40136.0,2022.0,11233.0,1914.0,2477.0,3.91,7.4,6519.0,141811.0,11519.0
Jackson County,2020,43833.0,24987.0,464.0,3208.0,574535768.0,13540.0,42432.0,36920.0,523.0,259.0,2.51,9303.0,9383.0,18286.0,60700.0,1160.0,544.0,648.0,427.0,343.0,551.0,2544.0,5942.0,3.6,9998.0,132843676.0,33681.0,944.0,2474.0,19785.0,2.7,10353.0,352.0,854.0,77469.0,63715.0,221012.0,46820.0,246719.0,285747.0,13473.0,18295.0,13121.0,25738.0,15.33,14.46,49.52,38.16,9.91,18.04,23.53,26.8,8500.0,842.0,39470.0,7120.0,1622.0,6894.0,528.0,1970.0,695.0,485.0,4.445,7.6,1499.0,32678.0,5008.0
Johnston County,2020,101310.0,40039.0,66.0,949.0,2257782786.0,50968.0,44298.0,50224.0,31976.0,5480.0,6.15,46316.0,49397.0,92056.0,94100.0,4510.0,2348.0,3718.0,2044.0,1063.0,3357.0,10495.0,35403.0,2.5,48374.0,571571692.0,40800.0,8400.0,27855.0,98297.0,3.0,54029.0,7495.0,10982.0,91284.0,74922.0,287705.0,61806.0,339163.0,407528.0,50718.0,86856.0,43223.0,29327.0,9.52,6.95,17.14,30.16,7.63,12.23,18.4,20.55,26574.0,2027.0,200982.0,24572.0,9302.0,50546.0,3111.0,15139.0,2044.0,2309.0,3.505,6.4,6241.0,151143.0,14396.0
Jones County,2020,13125.0,13528.0,27.0,89.0,58661575.0,1564.0,37507.0,28271.0,2769.0,874.0,22.39,1833.0,1825.0,3957.0,50100.0,469.0,207.0,308.0,157.0,166.0,354.0,547.0,1490.0,4.4,2025.0,13780606.0,30227.0,140.0,480.0,4199.0,4.2,2030.0,27.0,481.0,64262.0,55256.0,213785.0,38324.0,255222.0,351934.0,1315.0,3221.0,1288.0,22917.0,19.84,30.34,31.56,29.17,10.88,23.45,29.57,37.2,2179.0,237.0,9384.0,2201.0,514.0,1738.0,215.0,578.0,184.0,156.0,6.285,5.8,242.0,6034.0,1197.0
Lee County,2020,0.0,12165.0,285.0,412.0,1086679428.0,24712.0,43974.0,42700.0,11610.0,3107.0,6.71,12907.0,13792.0,23894.0,62100.0,1958.0,876.0,1483.0,725.0,415.0,1411.0,3678.0,9271.0,4.1,13942.0,275170086.0,41967.0,2655.0,11531.0,25965.0,2.6,15369.0,7448.0,6019.0,76237.0,59013.0,242011.0,52294.0,289751.0,350977.0,24715.0,21336.0,17267.0,25502.0,12.71,69.17,26.76,23.02,10.49,16.35,23.89,22.61,9683.0,1016.0,59749.0,9766.0,3392.0,14201.0,981.0,4339.0,1035.0,595.0,4.44,8.0,2071.0,43396.0,5514.0
Lenoir County,2020,0.0,25425.0,46.0,107.0,1171564943.0,27759.0,42205.0,33090.0,21423.0,6169.0,13.86,11245.0,11890.0,25892.0,51300.0,2231.0,1490.0,1816.0,1355.0,651.0,1076.0,3961.0,7533.0,5.4,12560.0,286315303.0,39841.0,1593.0,4393.0,27600.0,4.9,13424.0,7851.0,4124.0,71117.0,53964.0,226677.0,39923.0,261932.0,295383.0,27338.0,19385.0,19487.0,24894.0,14.96,42.99,28.8,36.26,15.97,21.97,34.64,35.16,10889.0,1739.0,55145.0,12113.0,4211.0,12155.0,1423.0,4047.0,1264.0,1043.0,6.875,6.2,1708.0,29232.0,4374.0
Lincoln County,2020,0.0,22528.0,0.0,143.0,1074579024.0,24053.0,44675.0,37740.0,4029.0,1161.0,13.8,18791.0,21045.0,40410.0,65500.0,2167.0,867.0,1371.0,767.0,789.0,1283.0,4964.0,16161.0,3.0,19842.0,277907385.0,51995.0,899.0,6075.0,43262.0,3.5,22951.0,4677.0,6908.0,94895.0,72078.0,273394.0,59592.0,338855.0,405768.0,23922.0,33631.0,19245.0,33197.0,11.12,0.0,28.82,14.8,10.6,12.21,14.95,16.52,14726.0,1561.0,83691.0,10216.0,2609.0,17457.0,831.0,5030.0,1051.0,1182.0,4.165,6.7,2852.0,74354.0,8267.0
Macon County,2020,60500.0,11835.0,24.0,224.0,422758234.0,10979.0,38506.0,25888.0,508.0,173.0,8.3,6514.0,7360.0,14416.0,54300.0,1070.0,454.0,714.0,400.0,310.0,707.0,2270.0,6242.0,3.3,7024.0,104636818.0,33500.0,856.0,2481.0,15449.0,1.5,7970.0,391.0,639.0,79178.0,60288.0,230835.0,45703.0,283580.0,344487.0,9965.0,13617.0,9574.0,29549.0,15.33,10.71,34.06,34.5,9.89,16.01,22.94,23.32,9972.0,986.0,34886.0,5585.0,1401.0,6106.0,416.0,1784.0,510.0,212.0,3.5599999999999996,6.8,1033.0,32540.0,4990.0
Madison County,2020,0.0,22769.0,18.0,57.0,145341218.0,3808.0,38167.0,78333.0,101.0,36.0,0.0,4576.0,4838.0,8926.0,72500.0,392.0,173.0,340.0,169.0,145.0,361.0,1252.0,3466.0,1.8,4740.0,34552218.0,66071.0,19.0,490.0,9587.0,1.9,5178.0,401.0,641.0,83622.0,69681.0,265221.0,46190.0,294602.0,336611.0,2955.0,8933.0,2554.0,27184.0,14.18,31.58,35.64,3.88,9.96,14.29,13.23,11.67,4648.0,463.0,20593.0,2942.0,493.0,3726.0,146.0,1251.0,164.0,172.0,2.565,7.0,661.0,19773.0,2803.0
Martin County,2020,0.0,20733.0,26.0,67.0,213561348.0,6251.0,34164.0,34956.0,9311.0,2153.0,15.01,4885.0,4448.0,8267.0,46500.0,1066.0,563.0,846.0,453.0,238.0,691.0,1630.0,3169.0,6.8,5569.0,51584073.0,23608.0,686.0,942.0,8884.0,4.2,5000.0,713.0,1341.0,65907.0,50769.0,229174.0,39909.0,276980.0,307835.0,5455.0,8169.0,4742.0,24108.0,15.83,38.81,23.12,72.82,13.3,20.44,32.02,36.17,5097.0,678.0,22288.0,4556.0,1392.0,4347.0,485.0,1341.0,684.0,357.0,7.645,7.0,617.0,11988.0,1898.0
McDowell County,2020,0.0,25430.0,17.0,64.0,609127892.0,15351.0,39680.0,34750.0,1296.0,606.0,10.24,9256.0,9642.0,19123.0,49100.0,1399.0,506.0,933.0,433.0,288.0,1064.0,4011.0,7468.0,2.7,9764.0,154219830.0,41229.0,751.0,2748.0,20555.0,3.5,10619.0,5687.0,5195.0,69440.0,54824.0,246499.0,47085.0,285109.0,320694.0,15315.0,14031.0,9628.0,25432.0,13.43,26.56,46.76,27.33,9.46,15.56,22.17,27.35,9127.0,863.0,44256.0,6887.0,1938.0,8740.0,677.0,2475.0,508.0,649.0,4.345,7.0,1432.0,40484.0,5438.0
Mecklenburg County,2020,38525.0,22464.0,870.0,3704.0,51179808430.0,692033.0,73956.0,51689.0,340280.0,47419.0,6.5600000000000005,282870.0,292263.0,569616.0,83500.0,19972.0,11959.0,16004.0,10563.0,4861.0,12014.0,45619.0,186296.0,3.1,297025.0,15053989113.0,50672.0,29629.0,144747.0,617543.0,3.7,316790.0,33043.0,46135.0,123073.0,85793.0,341737.0,69240.0,400873.0,475893.0,690823.0,537951.0,657780.0,40627.0,7.26,23.49,13.94,20.47,7.5,10.9,15.99,16.25,120608.0,9046.0,1078174.0,117474.0,40474.0,253093.0,13937.0,85772.0,13936.0,15055.0,4.045,7.8,47927.0,559916.0,40657.0
Mitchell County,2020,0.0,23642.0,29.0,77.0,180339482.0,4442.0,40599.0,0.0,5.0,5.0,100.0,2908.0,3441.0,5427.0,56400.0,303.0,90.0,179.0,74.0,97.0,224.0,1086.0,2570.0,3.3,3119.0,45966813.0,45227.0,262.0,848.0,5886.0,1.6,3720.0,0.0,937.0,78084.0,61051.0,252780.0,48841.0,296428.0,356499.0,3666.0,5585.0,3666.0,26975.0,11.67,37.66,100.0,30.9,9.78,12.35,13.8,17.27,3659.0,358.0,14570.0,1800.0,366.0,2652.0,134.0,776.0,211.0,99.0,3.465,7.9,459.0,13982.0,1632.0
Montgomery County,2020,0.0,6394.0,40.0,87.0,365090857.0,8883.0,41100.0,32000.0,4346.0,1178.0,7.88,5220.0,5305.0,10573.0,53900.0,769.0,414.0,507.0,350.0,225.0,696.0,1986.0,3912.0,2.4,5517.0,87842581.0,42153.0,704.0,4080.0,11328.0,1.1,5563.0,2868.0,2965.0,71953.0,55331.0,203863.0,45147.0,250734.0,300377.0,7582.0,7668.0,4714.0,23863.0,13.34,45.98,27.11,17.25,9.8,16.85,23.22,20.1,5438.0,533.0,26129.0,4403.0,1334.0,5745.0,327.0,1627.0,270.0,116.0,2.545,6.7,755.0,19919.0,2657.0
Moore County,2020,49615.0,17359.0,93.0,750.0,1555642532.0,34557.0,45017.0,40569.0,10686.0,2747.0,6.94,20588.0,20226.0,37796.0,88200.0,1594.0,870.0,1074.0,745.0,529.0,1217.0,4791.0,19323.0,2.3,21928.0,378678959.0,38059.0,1660.0,6769.0,40734.0,2.7,24309.0,1703.0,3503.0,103648.0,82797.0,273944.0,63324.0,354387.0,459679.0,34327.0,37794.0,32624.0,36184.0,8.19,12.4,25.71,24.52,6.64,10.52,14.78,15.5,23028.0,1530.0,97546.0,10260.0,3014.0,20398.0,1071.0,6908.0,980.0,1018.0,3.39,7.3,2938.0,79319.0,6498.0
Nash County,2020,50045.0,13922.0,91.0,499.0,1671268908.0,38294.0,43643.0,44731.0,37081.0,7845.0,7.92,21048.0,20608.0,38590.0,57700.0,2996.0,1740.0,2287.0,1526.0,947.0,1715.0,6227.0,15164.0,3.0,22285.0,428011580.0,43485.0,1847.0,6525.0,42129.0,5.7,23116.0,7373.0,6780.0,79336.0,61229.0,245784.0,49949.0,287947.0,351263.0,37049.0,35307.0,29676.0,27286.0,10.48,18.24,21.16,28.31,11.74,15.76,22.01,28.02,16789.0,1971.0,92179.0,14531.0,4446.0,20196.0,1676.0,5981.0,1219.0,2064.0,5.71,8.4,3539.0,47728.0,5003.0
New Hanover County,2020,0.0,24695.0,67.0,432.0,5839282405.0,112725.0,51801.0,40931.0,29618.0,9672.0,5.5600000000000005,57343.0,55468.0,112078.0,81000.0,4547.0,2727.0,3245.0,2262.0,966.0,3037.0,10102.0,37808.0,2.8,60212.0,1422487681.0,43658.0,2860.0,12726.0,120839.0,3.8,61241.0,4722.0,7074.0,109826.0,79830.0,278234.0,56689.0,341594.0,416658.0,112595.0,107559.0,107873.0,36324.0,11.41,15.51,32.66,22.47,8.42,14.63,17.81,17.43,40291.0,3394.0,224287.0,32805.0,7440.0,41774.0,2291.0,13147.0,2857.0,3413.0,4.15,7.3,8761.0,181222.0,20686.0
Northampton County,2020,0.0,17176.0,42.0,80.0,219560076.0,5324.0,41240.0,34145.0,10438.0,2546.0,10.56,3846.0,3433.0,6978.0,43700.0,824.0,562.0,604.0,455.0,269.0,727.0,1433.0,2578.0,2.4,4054.0,54537260.0,60250.0,210.0,419.0,7527.0,5.2,3887.0,429.0,1188.0,61398.0,48815.0,226974.0,38969.0,270358.0,297473.0,3499.0,6130.0,3070.0,23946.0,11.6,52.5,24.39,50.12,13.92,20.09,32.67,31.76,4822.0,671.0,18778.0,3773.0,1106.0,3385.0,316.0,995.0,208.0,415.0,5.699999999999999,7.3,550.0,7439.0,863.0
Onslow County,2020,43979.0,26221.0,117.0,788.0,1876764126.0,47850.0,39222.0,43419.0,25544.0,5144.0,6.28,32863.0,31562.0,59276.0,57700.0,4832.0,2535.0,3726.0,2082.0,1225.0,3528.0,12726.0,27325.0,4.6,38187.0,448440926.0,56629.0,2496.0,20394.0,63899.0,3.0,71233.0,919.0,2949.0,70695.0,57756.0,220616.0,51560.0,284801.0,324918.0,47005.0,62440.0,46086.0,24817.0,10.81,14.85,20.14,12.24,10.29,12.41,16.01,17.61,18042.0,1857.0,177251.0,21991.0,7572.0,47304.0,3403.0,19322.0,3053.0,2602.0,4.41,7.3,4623.0,131043.0,14169.0
Orange County,2020,51385.0,14333.0,47.0,689.0,4520399708.0,70002.0,64575.0,44843.0,14728.0,2471.0,4.64,36800.0,34382.0,73636.0,90900.0,1700.0,890.0,1189.0,752.0,518.0,1038.0,4149.0,26399.0,2.5,38438.0,1142871302.0,62797.0,2221.0,11629.0,77808.0,2.5,37272.0,1540.0,3928.0,145740.0,104734.0,298254.0,74803.0,363000.0,443124.0,69806.0,68702.0,68266.0,42872.0,11.57,6.82,16.78,19.1,5.24,12.4,9.68,13.34,20400.0,1069.0,134474.0,16670.0,2716.0,28064.0,1052.0,7884.0,1638.0,1410.0,3.24,5.4,4172.0,101481.0,11740.0
Pamlico County,2020,26250.0,21486.0,2.0,24.0,108328991.0,3163.0,34249.0,19669.0,2006.0,606.0,3.5300000000000002,2328.0,2102.0,4947.0,60400.0,358.0,118.0,229.0,86.0,100.0,295.0,795.0,2192.0,1.5,2407.0,25443615.0,33333.0,161.0,484.0,5242.0,2.5,2350.0,194.0,367.0,84626.0,64508.0,221859.0,48531.0,264880.0,332123.0,2664.0,4167.0,2470.0,28257.0,12.0,8.33,30.21,33.26,10.45,15.46,22.37,18.6,3705.0,387.0,11964.0,1850.0,421.0,1882.0,85.0,457.0,79.0,141.0,3.265,5.7,295.0,9378.0,1125.0
Pasquotank County,2020,112656.0,65755.0,0.0,60.0,620027963.0,14748.0,42041.0,49364.0,12793.0,2534.0,10.92,8174.0,8452.0,15306.0,66200.0,772.0,459.0,453.0,320.0,190.0,633.0,2022.0,6767.0,4.0,8964.0,148215866.0,39340.0,478.0,2157.0,16516.0,3.6,9915.0,635.0,1805.0,83447.0,72184.0,277673.0,54439.0,315744.0,404437.0,14571.0,15174.0,13936.0,26898.0,7.09,0.0,19.81,22.16,9.42,12.33,15.63,13.48,6486.0,611.0,36927.0,4553.0,1303.0,8337.0,383.0,2842.0,657.0,558.0,5.055,7.4,1211.0,21748.0,1542.0
Pender County,2020,41607.0,19844.0,22.0,147.0,482852757.0,12429.0,38849.0,35331.0,8323.0,2291.0,11.01,13274.0,13562.0,26157.0,67900.0,1356.0,534.0,1050.0,481.0,239.0,894.0,2598.0,10845.0,4.1,14327.0,117183285.0,31321.0,1641.0,4498.0,28001.0,4.9,15587.0,564.0,2351.0,94445.0,74992.0,261019.0,60044.0,308308.0,362681.0,12030.0,24961.0,11466.0,30666.0,9.87,14.97,27.53,36.48,7.01,14.04,18.94,20.58,10740.0,753.0,60483.0,8493.0,2540.0,13411.0,856.0,4159.0,1021.0,1205.0,5.9399999999999995,6.7,1844.0,47095.0,4649.0
Perquimans County,2020,0.0,12441.0,0.0,27.0,79055230.0,2089.0,37844.0,25959.0,3148.0,1139.0,10.27,2411.0,2796.0,4521.0,53300.0,436.0,233.0,236.0,197.0,95.0,314.0,898.0,2463.0,2.4,2552.0,18916382.0,0.0,41.0,369.0,4845.0,2.9,3097.0,35.0,587.0,73776.0,61471.0,213620.0,51036.0,295460.0,441518.0,1716.0,4727.0,1681.0,28160.0,4.26,0.0,36.18,11.11,8.41,12.12,13.33,19.09,3735.0,314.0,13407.0,1625.0,333.0,2498.0,121.0,634.0,141.0,157.0,3.88,6.8,324.0,9911.0,422.0
Person County,2020,0.0,23064.0,93.0,242.0,408675396.0,9326.0,43821.0,33678.0,9939.0,2275.0,10.64,9634.0,9314.0,16766.0,61800.0,1268.0,844.0,1151.0,838.0,317.0,907.0,2050.0,7043.0,4.1,10328.0,105358999.0,31667.0,1022.0,1751.0,18098.0,3.5,10097.0,1451.0,2565.0,83489.0,70814.0,291500.0,57323.0,331584.0,375023.0,9253.0,16613.0,7802.0,31605.0,12.01,38.43,22.89,58.37,9.2,16.26,32.79,30.4,7514.0,691.0,39063.0,6353.0,2656.0,8099.0,718.0,2362.0,694.0,542.0,4.88,7.4,1332.0,26208.0,3148.0
Pitt County,2020,0.0,21447.0,192.0,577.0,3668575705.0,74291.0,49381.0,37188.0,60758.0,18081.0,11.93,42192.0,40819.0,81504.0,66700.0,5465.0,3710.0,4430.0,3284.0,1361.0,3266.0,9667.0,25832.0,4.7,45915.0,924590380.0,40480.0,2316.0,11285.0,87449.0,5.6,46172.0,6509.0,8572.0,82442.0,63272.0,234399.0,49337.0,293777.0,361273.0,73746.0,75538.0,67237.0,27599.0,15.23,33.28,29.76,20.52,8.74,20.8,25.13,28.2,23317.0,2037.0,172623.0,35897.0,9383.0,37342.0,3386.0,12008.0,3698.0,3720.0,6.54,6.8,5946.0,96402.0,14684.0
Polk County,2020,0.0,0.0,75.0,75.0,176575177.0,4924.0,35860.0,35833.0,925.0,38.0,5.31,4214.0,4761.0,8392.0,60600.0,364.0,121.0,225.0,98.0,76.0,293.0,1545.0,3508.0,2.4,4440.0,42571958.0,41815.0,295.0,1227.0,8948.0,1.4,5004.0,324.0,1147.0,86663.0,65766.0,222772.0,52125.0,302170.0,381953.0,4438.0,7942.0,4114.0,32327.0,9.71,100.0,4.11,24.04,6.87,10.03,14.98,21.88,6218.0,427.0,20390.0,2046.0,497.0,3317.0,189.0,864.0,226.0,119.0,2.755,6.3,556.0,18547.0,1800.0
Randolph County,2020,18281.0,31913.0,85.0,435.0,1707135934.0,42547.0,40124.0,31532.0,8493.0,2274.0,5.85,30756.0,33882.0,59268.0,66600.0,4480.0,2205.0,3147.0,1862.0,1251.0,3012.0,10326.0,22681.0,3.2,32668.0,426590868.0,45146.0,3952.0,16673.0,63993.0,2.2,36503.0,13962.0,15041.0,71620.0,57375.0,237050.0,48984.0,290334.0,354871.0,38835.0,50875.0,24873.0,25246.0,12.7,19.54,26.77,23.7,8.54,14.62,19.12,22.07,24651.0,2105.0,141686.0,20714.0,6051.0,31640.0,2046.0,9271.0,1912.0,1222.0,3.585,7.5,4725.0,119396.0,15164.0
Richmond County,2020,21466.0,14342.0,450.0,1150.0,503086009.0,13149.0,38260.0,24864.0,13610.0,4439.0,12.88,9179.0,9287.0,15200.0,43300.0,2191.0,1498.0,1832.0,1354.0,764.0,1075.0,3105.0,6160.0,5.0,10105.0,123059097.0,42600.0,615.0,2910.0,16733.0,4.3,10557.0,3183.0,3196.0,62812.0,51754.0,225588.0,39051.0,261987.0,293337.0,13151.0,15540.0,9968.0,22068.0,17.01,39.13,32.62,21.13,14.68,22.4,38.69,43.11,7744.0,1137.0,43317.0,9702.0,3854.0,9961.0,1311.0,3041.0,926.0,753.0,6.34,9.2,1533.0,26454.0,4501.0
Robeson County,2020,33767.0,18684.0,14006.0,52729.0,1452799104.0,37944.0,38288.0,28274.0,29737.0,9881.0,10.79,24571.0,23225.0,45531.0,46200.0,6454.0,3674.0,4787.0,2933.0,1469.0,3880.0,8428.0,14039.0,3.4,26408.0,353528108.0,32382.0,4932.0,11493.0,49951.0,4.1,25859.0,7379.0,8202.0,61823.0,44909.0,210837.0,35362.0,240988.0,282656.0,37944.0,40154.0,30565.0,19388.0,20.28,26.56,33.23,42.91,20.47,27.06,39.85,44.2,19508.0,3993.0,128021.0,34641.0,12942.0,32473.0,4607.0,10423.0,1837.0,2001.0,5.4399999999999995,8.9,4420.0,34312.0,6958.0
Rockingham County,2020,39114.0,22268.0,4.0,473.0,900720224.0,23577.0,38203.0,36592.0,15769.0,3761.0,9.91,18939.0,20311.0,35723.0,61700.0,3478.0,1790.0,2587.0,1508.0,909.0,2090.0,6989.0,14291.0,3.9,20475.0,227149847.0,39628.0,2249.0,5603.0,38983.0,3.3,21979.0,5080.0,7138.0,70229.0,55678.0,218009.0,45697.0,282568.0,356741.0,21461.0,32595.0,16381.0,25268.0,14.7,0.85,23.85,40.14,10.4,17.93,28.66,37.88,17955.0,1868.0,89366.0,16024.0,5117.0,17852.0,2020.0,5332.0,1536.0,1158.0,4.925,8.4,3260.0,67315.0,9897.0
Rowan County,2020,70600.0,20473.0,155.0,771.0,2225290426.0,46275.0,48088.0,41477.0,21062.0,5282.0,11.92,29974.0,32235.0,59909.0,64400.0,4748.0,2405.0,3799.0,2151.0,1277.0,3050.0,8922.0,22123.0,3.9,32242.0,560660589.0,37237.0,4536.0,12588.0,65083.0,4.5,35710.0,5999.0,10103.0,79339.0,62091.0,244937.0,51054.0,297825.0,366850.0,46274.0,53088.0,40275.0,26789.0,13.59,20.1,25.08,36.03,8.58,16.22,24.94,32.88,23676.0,2032.0,136894.0,22210.0,7709.0,30905.0,3142.0,9556.0,2255.0,2482.0,5.53,8.0,5174.0,105571.0,14345.0
Rutherford County,2020,47154.0,22667.0,18.0,212.0,677451906.0,17388.0,38961.0,31705.0,5892.0,2211.0,10.72,12684.0,13700.0,22307.0,55800.0,2097.0,1135.0,1488.0,955.0,491.0,1739.0,5325.0,9373.0,3.5,13673.0,172527279.0,45982.0,646.0,3007.0,24587.0,3.7,15218.0,2572.0,5318.0,70268.0,53158.0,211167.0,43183.0,257895.0,320067.0,17282.0,21583.0,14710.0,24308.0,15.26,8.49,37.53,21.48,11.8,17.82,23.59,26.37,13895.0,1640.0,65387.0,11651.0,3118.0,13219.0,1040.0,3944.0,989.0,958.0,5.085,9.3,2281.0,56174.0,8572.0
Sampson County,2020,38750.0,18588.0,321.0,1302.0,716423906.0,17389.0,41200.0,33098.0,15767.0,5028.0,9.04,12292.0,13658.0,26837.0,49300.0,2342.0,1317.0,1901.0,1151.0,434.0,1928.0,4535.0,8626.0,3.5,13188.0,182313874.0,41289.0,3652.0,12553.0,28498.0,4.4,15612.0,2862.0,3885.0,70416.0,52517.0,214951.0,42914.0,256487.0,314534.0,15537.0,22855.0,12675.0,23502.0,18.62,24.65,31.89,29.09,11.25,21.7,34.3,39.66,11071.0,1245.0,62404.0,13541.0,5231.0,15251.0,2065.0,5207.0,893.0,1050.0,5.275,5.9,1661.0,38001.0,7075.0
Scotland County,2020,39000.0,17464.0,897.0,4045.0,451517635.0,11074.0,40773.0,27243.0,12580.0,5135.0,17.68,6085.0,6133.0,10034.0,44000.0,1909.0,1375.0,1470.0,1122.0,383.0,956.0,2167.0,3731.0,6.0,6926.0,111745725.0,46848.0,238.0,1034.0,11408.0,5.9,7117.0,2064.0,2705.0,62492.0,46269.0,192709.0,35936.0,241373.0,298430.0,9850.0,9691.0,7786.0,20975.0,16.86,22.18,40.82,23.02,14.76,27.25,42.47,50.39,5868.0,866.0,32717.0,8916.0,3314.0,7804.0,1371.0,2721.0,841.0,806.0,8.73,12.1,1373.0,14167.0,2388.0
Stanly County,2020,90234.0,21527.0,71.0,311.0,727235981.0,18458.0,39400.0,25081.0,6630.0,2739.0,10.06,13415.0,14797.0,27757.0,60700.0,1374.0,919.0,1195.0,865.0,437.0,710.0,3739.0,11141.0,2.7,14097.0,182807178.0,50321.0,384.0,2549.0,29630.0,3.2,16166.0,3098.0,4462.0,82763.0,68491.0,241120.0,54104.0,310409.0,375210.0,18161.0,24254.0,15063.0,26956.0,8.16,22.83,41.31,15.06,8.07,12.21,17.88,23.1,11255.0,908.0,60164.0,7348.0,2390.0,13366.0,1026.0,4441.0,682.0,801.0,3.875,6.4,1873.0,50446.0,4115.0
Stokes County,2020,0.0,15128.0,67.0,235.0,262334869.0,7478.0,35081.0,40822.0,1731.0,266.0,4.3,10135.0,10521.0,19638.0,68600.0,1517.0,780.0,901.0,545.0,365.0,751.0,3049.0,8187.0,1.8,10499.0,64524914.0,31991.0,636.0,1485.0,20991.0,3.8,11659.0,696.0,4387.0,73102.0,59377.0,253352.0,51668.0,315964.0,388531.0,7390.0,16686.0,6694.0,27979.0,12.92,28.51,15.37,42.83,10.08,13.63,19.4,23.2,9049.0,912.0,44976.0,6129.0,1617.0,8335.0,505.0,2177.0,364.0,699.0,3.77,6.5,1353.0,41773.0,5398.0
Surry County,2020,0.0,23770.0,33.0,238.0,1083452393.0,26848.0,40355.0,39323.0,2575.0,769.0,10.6,14836.0,16068.0,30404.0,59800.0,2278.0,1047.0,1510.0,929.0,676.0,1884.0,4689.0,11735.0,2.3,15517.0,267314020.0,46161.0,1754.0,7817.0,32639.0,3.0,17610.0,3861.0,5456.0,76731.0,62889.0,229614.0,44979.0,271953.0,334752.0,24457.0,26108.0,20596.0,26074.0,15.59,13.87,29.86,22.44,13.85,16.43,21.59,28.96,14143.0,1959.0,70941.0,11653.0,3212.0,14877.0,1269.0,4382.0,681.0,843.0,3.575,6.9,2236.0,63372.0,9880.0
